School Id,Primary Domain,IG Followers (CD Output),Enrolled Students,# Products with 5 or more students enrolled,Custom Primary Domain,PO Business Email,Qt Admins,Has Student (All),Has Student (Currenty Active Only),Set Up,School is a High Importer,Final Category - All Students,Final Category - Currently Active Students,Final Category,Which Category
733402.0,peary.teachable.com,,389,13,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
791665.0,mediakasvatusseura.teachable.com,,798,9,false,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1019092.0,mhc-wellman-program.teachable.com,,941,3,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1508013.0,swanriver.teachable.com,,48,6,false,true,3,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2545643.0,mike-s-school234.teachable.com,,61,1,false,true,3,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
991241.0,la-maternelle-nursery.teachable.com,,229,21,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1907308.0,employee-trainings.teachable.com,,649,1,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2581352.0,trace-exchange-academy.teachable.com,,224,1,false,true,6,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2686591.0,futerman.teachable.com,,143,1,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
742013.0,chinmaya-ias-academy.teachable.com,,571,44,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
938581.0,hotflostudios.teachable.com,,35,1,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1238772.0,mejorpyme.teachable.com,,2210,10,false,false,3,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1440861.0,learning.strategyinaction.io,,724,11,true,true,4,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2013446.0,academy.varicon.com.au,,547,8,true,true,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2075519.0,flaviu-petrar-s-school.teachable.com,,109,2,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2206820.0,www.womenchoiceprograms.org,,464,29,true,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2421239.0,gravity-transformation-s-school.teachable.com,,20,1,false,true,1,false,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
910603.0,foodhub.teachable.com,,1383,16,false,true,15,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1065528.0,secuform-securite.teachable.com,,1008,75,false,false,5,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
